Buffer,LandCover,Area_m2
STP,24,12564.310206063092
STP,18,2150067.8607203066
STP,23,977525.203647986
JEP,12,465904.76818386465
JEP,18,950375.7624770626
JEP,35,579936.4900690392
JEP,24,1143940.3538464159
DES,18,873264.3887570947
DES,23,520833.38096526265
DES,24,492352.4589926377
DES,12,1253707.1458615363
HLI,23,1389548.2109822035
HLI,24,382080.0466441959
HLI,12,647557.6107349582
HLI,18,706905.3791888077
HLI,2,14066.127026256407
WUP,18,2382781.9975267947
WUP,12,757375.3770496361
WED,18,498904.5108896699
WED,3,34756.36713875085
WED,2,240000.0
WED,12,2366496.4965489944
KOT,29,329984.21833781153
KOT,11,184558.36972871982
KOT,3,379705.756672062
KOT,23,147316.05424526334
KOT,1,183944.22206468135
KOT,2,919005.6686152555
KOT,12,995363.4589876421
WDG,23,142792.86231952533
WDG,18,243256.82882255595
WDG,26,1179241.9507461488
WDG,2,297432.1669862345
WDG,12,1277433.5657025129
BUH,29,182178.54393762723
BUH,18,315432.28174860217
BUH,12,2642546.548892538
